"[56, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4]"
[4]
[21]
[21]
"[10, 10]"
[22]
[22]
[20]
[20]
"[13, 13]"
[22]
[22]
[11]
"[11, 22]"
[22]
"[11, 11]"
[22]
[22]
"[11, 11]"
[15]
"[15, 18]"
[18]
"[14, 14]"
"[14, 14]"
[22]
"[22, 19]"
"[19, 14]"
"[14, 13]"
"[13, 13]"
[13]
"[13, 13]"
"[13, 13]"
"[13, 13]"
"[13, 13]"
"[13, 13]"
"[13, 13]"
"[13, 13, 13]"
"[13, 13]"
"[13, 13]"
"[14, 14]"
"[6, 6, 7]"
"[7, 16]"
"[16, 16, 16]"
"[17, 17]"
"[0, 0, 15]"
"[15, 15, 15]"
[15]
[15]
[17]
[17]
"[15, 15]"
[22]
[22]
"[11, 11]"
[22]
[22]
[21]
[21]
[14]
[14]
"[18, 18]"
[14]
[14]
"[26, 26]"
[26]
[11]
"[11, 13]"
[13]
[23]
"[23, 13]"
[13]
[24]
"[24, 13]"
[13]
[24]
"[24, 13]"
[13]
[20]
"[20, 17]"
[17]
[18]
"[18, 20]"
[20]
"[13, 13]"
"[23, 23]"
[1]
[1]
"[24, 13, 13]"
[11]
"[11, 14]"
[14]
[24]
"[24, 14, 14]"
[11]
"[11, 13]"
"[13, 14]"
[14]
"[27, 27]"
"[16, 16, 0]"
[0]
[27]
"[27, 16, 16]"
[8]
"[8, 19]"
"[19, 16, 16]"
[17]
[17]
"[12, 12, 15]"
[15]
"[27, 27]"
"[7, 7, 10]"
[10]
"[19, 19]"
"[23, 23, 2]"
[2]
[15]
"[29, 29]"
[11]
[11]
[25]
"[25, 11]"
[11]
[25]
[25]
"[22, 22]"
[8]
[8]
"[34, 34]"
[14]
[14]
"[28, 28]"
[14]
[14]
[14]
"[14, 27]"
"[27, 13]"
[13]
"[23, 23]"
[4]
[4]
[24]
[24]
[27]
"[24, 24]"
[13]
[13]
[24]
"[24, 13]"
[13]
"[24, 24]"
[13]
"[13, 13]"
[13]
[25]
[25]
[13]
"[13, 25]"
[25]
"[26, 26]"
[14]
"[14, 14]"
